Rk,Player,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,OBP,SLG,OPS,Player-additional
69,Kyle Tucker*,28,CHC,136,597,500,91,133,25,4,22,73,0.377,0.464,0.841,tuckeky01
70,Anthony Volpe,24,NYY,153,596,539,65,114,32,4,19,72,0.272,0.391,0.663,volpean01
71,Sal Frelick*,25,MIL,142,594,528,76,152,20,3,12,63,0.351,0.405,0.756,frelisa01
72,Otto López,26,MIA,143,594,544,66,134,21,0,15,77,0.305,0.368,0.672,lopezot01
73,Michael Busch*,27,CHC,155,592,524,78,137,25,5,34,90,0.343,0.523,0.866,buschmi02
74,Marcell Ozuna,34,ATL,145,592,487,61,113,19,0,21,68,0.355,0.4,0.756,ozunama01
75,Nick Castellanos,33,PHI,147,589,547,72,137,27,2,17,72,0.294,0.4,0.694,casteni01
76,Jackson Chourio,21,MIL,131,589,549,88,148,35,4,21,78,0.308,0.463,0.77,chourja01
77,Jordan Beck,24,COL,148,588,539,62,139,27,5,16,53,0.317,0.416,0.732,beckjo01
78,Ernie Clement,29,TOR,157,588,545,83,151,35,2,9,50,0.313,0.398,0.711,clemeer01
79,Ceddanne Rafaela,24,BOS,156,587,546,84,136,34,4,16,63,0.295,0.414,0.708,rafaece01
80,George Springer,35,TOR,140,586,498,106,154,27,1,32,84,0.399,0.56,0.959,springe01
81,Ryan McMahon*,30,2TM,154,586,509,62,109,23,1,20,53,0.312,0.381,0.693,mcmahry01
81,Ryan McMahon*,30,COL,100,401,350,42,76,15,1,16,35,0.314,0.403,0.717,mcmahry01
81,Ryan McMahon*,30,NYY,54,185,159,20,33,8,0,4,18,0.308,0.333,0.641,mcmahry01
82,Agustín Ramírez,23,MIA,136,585,537,72,124,33,1,21,67,0.287,0.413,0.701,ramirag01
83,Carlos Correa,30,2TM,144,584,537,63,148,29,0,13,52,0.332,0.402,0.734,correca01
83,Carlos Correa,30,MIN,93,364,337,40,90,19,0,7,31,0.319,0.386,0.704,correca01
83,Carlos Correa,30,HOU,51,220,200,23,58,10,0,6,21,0.355,0.43,0.785,correca01
84,Lars Nootbaar*,27,STL,135,583,509,68,119,24,1,13,48,0.325,0.361,0.686,nootbla01
85,Trent Grisham*,28,NYY,143,581,494,87,116,9,1,34,74,0.348,0.464,0.811,grishtr01
86,Bryce Harper*,32,PHI,132,580,501,72,131,32,0,27,75,0.357,0.487,0.844,harpebr03
87,Hunter Goodman,25,COL,144,579,540,73,150,28,5,31,91,0.323,0.52,0.843,goodmhu01
88,Matt McLain,25,CIN,147,577,510,73,112,18,0,15,50,0.3,0.343,0.643,mclaima01
89,Jo Adell,26,LAA,152,573,526,63,124,18,1,37,98,0.293,0.485,0.778,adelljo01
90,Wyatt Langford,23,TEX,134,573,489,73,118,25,1,22,62,0.344,0.431,0.775,langfwy01
91,Ke'Bryan Hayes,28,2TM,152,570,527,50,124,16,3,5,49,0.29,0.306,0.595,hayeske01
91,Ke'Bryan Hayes,28,PIT,100,392,369,34,87,10,2,2,36,0.279,0.29,0.569,hayeske01
91,Ke'Bryan Hayes,28,CIN,52,178,158,16,37,6,1,3,13,0.315,0.342,0.656,hayeske01
92,Miguel Vargas,25,CHW,138,569,504,80,118,32,2,16,60,0.316,0.401,0.717,vargami01
93,Spencer Steer,27,CIN,146,568,509,66,121,21,2,21,75,0.312,0.411,0.723,steersp01
94,Yainer Diaz,26,HOU,143,567,542,56,139,25,1,20,70,0.284,0.417,0.701,diazya02
95,Jonathan India,28,KCR,136,567,497,63,116,29,0,9,45,0.323,0.346,0.669,indiajo01
